Username,Tanggal,Bintang,Komentar
Sarijul Basri,2023-03-06,4,Sangat membantu
Ruslin Lin,2023-03-06,1,Posisi GPS tidak akurat alamat tempat sy TDK di temukan
hoerus saleh,2023-03-05,5,Exelent
YULIUS.KUTIKA. KUTIKA,2023-03-05,5,Baik
siska juliet,2023-03-05,4,Semoga dgn adax aplikasi ini mengingatkan kita untk senantiasa wapada
Hilda Hilda,2023-03-04,4,Baguus terimakasih
Suhardi Suha,2023-03-04,5,Sangat penting dalam memberikan informasi tersebut
Kenny Zoe,2023-03-04,5,"Versi sekarang sudah lebih baik dari sebelumnya, informatif dan ui yang mudah dimegerti"
leo saputra,2023-03-03,5,Goddd
Jihan Talita,2023-03-03,5,Mantpppp
Miss Dyandy,2023-03-02,5,Coba dulu
Abdul Bazieth,2023-03-02,4,"Sudah bagus... Tambahin widget dong pliss...soalnya aplikasinya udah bagus banget,minimal widget cuaca atau apa lah gtu... Ayolah tambahin widget"
Adi Marta,2023-03-02,5,Ok
Agung,2023-03-02,5,Ok
Nursyam Sutan,2023-03-02,5,Badan Meteorologi Klimatologi dan Geofisika is the best
Hasan Udin,2023-03-02,5,"Info BMKG sangat penting utk memperoleh informasi terkini, terupdate dan terpercaya."
Kristoforus Koten,2023-03-01,5,Sangat membantu
Harianto Nadine,2023-03-01,4,Lumayan...
kus woyo,2023-03-01,5,"Sudah bagus. Tetapi akan lebih bagus lagi kalau notifikasinya tepat waktu, tidak terlambat, karena seringnya terlambat lebih dari 30 menit"
Iskandar Torang,2023-03-01,5,Sangatlah penting bagi kamu menerima semuanya informasi
Bambang Suriyana,2023-03-01,5,Kamu ingat. Tau gempa jokja hari ini wilayah nama
Aldisar Maulana_023,2023-03-01,5,Aplikasi nya Bagus Banget Dan Membantu Mengetahui Informasi Bencana Alam Yang Terjadi
SANTO AC,2023-03-01,5,Sangat membantu sekali
SARCE ARONGGEAR,2023-03-01,1,Coba dulu
Riskhi Setiawan,2023-03-01,5,Di lht dengan jelas
Kosong Dua,2023-02-28,5,Sangat membantu
Siti Fatimah,2023-02-28,5,Terima ksh dgn info aplikasi ini saya jd tau seberapa jauh lokasi sy dgn lokasi kejadian smoga akurat
Michi H,2023-02-28,5,Gas
Juwari Ari,2023-02-28,5,Trims
Arthur Lawalata,2023-02-28,5,Good 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼
Cara cepat Menanam cabe dan tomat (Petani cabe unggal),2023-02-28,5,👍 👍 👍
Ferry Hamid,2023-02-28,5,berita terupdate
Rina Putry,2023-02-28,5,bagus bngttt
agus masuri,2023-02-28,5,Data up to date
Siti Fatonah alfakah,2023-02-28,5,"Info BMKG, sangat membantu keseharian kita sebagai pekerja lapangan....., terima kasih BMKG....semangat dan sukses kedepan....👌👍🤓"
christ glen,2023-02-28,5,Baik
Alvian Borneo,2023-02-27,3,"Kurang update kalau soal cuaca, tapi kalau masalah gempa cepat update, bagusan nama nya jadi INFO GEMPA."
fery saputra,2023-02-27,5,Bagus
Al fatih,2023-02-27,5,Membantu
AISYAH BERLIANA,2023-02-27,4,Sedia BMKG sebelum hujan
saifuddin ardian,2023-02-27,5,Mantap
Novy Manuel Pitha,2023-02-27,5,Aplikasi ini membantu kami utk melihat cuaca.
Kampe Buni,2023-02-27,5,Sangat membantu
Muhammad Amirudin,2023-02-27,5,Bagus
van kono,2023-02-27,5,"info cuacanya sangat akurat, sangat membantu bagi kami yang bertugas di lapangan"
Sahrul Ramadhan,2023-02-27,1,ok u free to do
Muhammad Latif,2023-02-27,5,Apk nya bagus tapi dampak nya perbanyak lagi soalnya cmn 2 masi ada dampak lain bukan cmn banjir sama longsor bisa saja angin puting beliung
Kas Madi,2023-02-27,4,Baru coba.kalau Bagus ful bintang.
kafemu 6,2023-02-27,5,"Terimakasih, semoga menjadi wasilah untuk selalu siaga"
Michi Kawa,2023-02-27,5,bagus
Aldriyan Labania,2023-02-27,5,👍
Rafli Haidar,2023-02-27,5,Oke
HUMRIS Channel,2023-02-26,5,Sangat bermanfaat
Eko Saluko,2023-02-26,1,"Kalau ada gempa ada notifikasi itu normal, atapi yang bikin bingung pals lagi ujan keterangannya ⛅ sampai ☀"
Gilius Bay,2023-02-26,5,"BMKG, sangat membantu masyarakat Indonesia guna mengenal, mengetahui prakiraan kandungan bumi (geologi) dengan kewaspadaan"
KhiRizky,2023-02-26,3,Ini klau soal cuaca kurang akurat
Yan Yansen,2023-02-26,3,Terima kasih untuk infonya
ARRA ARA,2023-02-26,5,Sangat membantu
Eko Bambang Aristianto,2023-02-26,5,Tahu ramalan cuaca lebih awal
Ilham Saputra,2023-02-26,5,Langsung lima bintang bosku krna saya rasa aplikasinya sangat akurat dan sangat bermamfaat sekali makasih admin🙏🙏🙏
Eko Qotrun Nada S,2023-02-26,5,Sangat efisien memantau cuaca dari ponsel
safik rantaw,2023-02-26,5,Gempanya tidak geser cuma di laut
Rullah Ibrahim,2023-02-26,5,Bagus sekali
Roni rongsokan,2023-02-26,5,Apk sangat baik dan akurat
Sun Clean,2023-02-26,5,Sangat menbantu untuk keperluan saya setiap hariya karna saya kerja di lapagan tmks BMKG
suksma sayekto,2023-02-26,5,"Semakin lengkap infonya, lokal maupun global ada, terutama info gempa, semakin banyak tau kebenaran informasinya....👍🏻"
Akmal CH,2023-02-25,5,"Bagus, supaya lebih praktis tambahin widget buat di depan hp agar lebih cepat informasi hujan,gempa,dll"
Dodi Appraisal,2023-02-25,5,"Jazaakallahu Khairaa, semoga semakin berkembang"
Elbasrikyngn Elbasrikyngn,2023-02-25,5,Semakin di tingkatkan lagi yang lebih baik
hery benteng,2023-02-25,5,Bagus
Stefanus Baites,2023-02-25,5,Mantap
sin benggu,2023-02-25,5,Sangat bermanfaat
Sundari Yanto,2023-02-25,5,Nambah pengalaman
Odang Gordyn,2023-02-25,5,Bagus
Lalu hadiman Yakub sh,2023-02-25,4,"Cari lokasi ITU ya di buat per provinsi jd gampang di di cari, ini TDK teraratur amburadul cari kecamatan lama bngt... Ku ksh bintang 4 dl, klu sdh di perbaiki cari lokasi kecamatan perprovinsi bar aku ksh bintang 5"
Carla Malonda,2023-02-25,5,Sudah Ok..
Erik Alam,2023-02-25,5,Mantap
TB Farm,2023-02-25,5,Akurat
GUS_AGUS,2023-02-25,5,Bagus dan bermanfaat. Terima kasih.
sansan sansan,2023-02-25,5,Bagus
Ngurah Bojes,2023-02-24,5,Akurat
Fais Indra Kusuma,2023-02-24,5,Semoga bermanfaat
Dwi Agus Priyanto,2023-02-24,5,Ok
Iman Sulaeman,2023-02-24,3,saya kasih bintang 3 dulu. alasannya. kok di situ ada pemberian ada pemberitahuan. bmkg 2 item baru. kok saya cari-cari nggak ada notifikasinya. buat pengembang mohon diperbaiki lagi. setelah saya mengupdate versi terbaru. ke pemberitahuannya bmkg terhenti terus. untuk yang lain-lainnya. membantu banget. deh pokoknya mantap untuk info bmkg. begitu ya. untuk kalau bisa. kita bikin akun dulu. biar nanti ke sananya tahu. biar lebih akurat. pokoknya infonya. pembantu banget deh.
Putra Pertama,2023-02-24,4,Oke
Aura Sh,2023-02-24,5,Mantap
ronaldos sumono,2023-02-24,4,Good
John Oktaviano Rolando,2023-02-24,5,👍👍
Sandro Leonardo,2023-02-23,5,Good
Made Sadwika,2023-02-23,1,Dagangan
Afdal Saputra,2023-02-23,3,"Meski terpisah jarak, aku tetap mengingat keluargaku di kampung halaman"
Muhamad Asrori,2023-02-22,5,Mengharap keakuratan dlm imformasinya..
Soutan Arif,2023-02-22,3,"Ntah bug atw apa Untuk perkiraan angin kurang akurat,"
Muhammad akbar Tambayong,2023-02-21,5,Ok
Riyadi Sulaiman,2023-02-21,5,Aktifkan
LANCAR FASHION83,2023-02-20,5,Jos
War Humanity,2023-02-19,1,Aplikasi ini HARUS LEBIH BAIK lagi!!! PERBAIKI !!! Tidak akurat... Presentasi tingkat akurasi untuk wilayah saya hanya 2% Jadi melenceng 98%
UltraMan Regulus,2023-02-19,5,New update Version supported on mobile device Realme C 30
kk Dadan Dadan,2023-02-18,3,Coba bagus gk berita nya bener ap gk
Gatot teguh Arip arianto,2023-02-18,5,Baik dan akurat
Ketut Dartia,2023-02-18,3,Perubahan pemberitahuan terkini diberanda sesuai lokasi perlu ditingkatkan
Rima Afriani,2023-02-18,5,Untuk mengetahwi kedan gempa
Dohar Sinaga,2023-02-17,5,Sangat cocok
Thoyo Wijoyo,2023-02-17,1,Infonya kurang update...
muhammad jimmy as-sidiq,2023-02-17,1,mohon buat responnya lebih di percepat jangan sampai nanti kami sudah mati baru ada himbauan
01_DP III T.A_ muhammad Ilham,2023-02-17,4,Good
Akbartt Daeng,2023-02-16,5,Bagus
dita tri,2023-02-16,4,Jng trs²an di update dong perasaan tiap bulan di udpate nya🥴🥴..kl blm di update ga bisa Nerima notif 🥴🥴
Fredd Drogo,2023-02-16,4,Lebih nyaman sama tampilan yg lama
daniel mote,2023-02-15,5,Info cuaca trims
Candra Yoga,2023-02-14,5,"Info jangan terlambat, berita harus cepat tanggap"
wid wirai,2023-02-13,5,Info BMKG sangat berguna utk mengetahui keadaan cuaca dan gempa bumi.
SUGIYANTO,2023-02-13,5,Sangat Berguna Sekali Aplikasinya
Djulianus Fina,2023-02-13,5,Smg bekerja dgn baik bagi indonesia
Agus Salim,2023-02-13,5,Sgat membantu
Af Rizal,2023-02-12,1,Tdk sprt doloe+ribet nyelimet mending instal luar negri punya.
Mardi Bandhil,2023-02-12,4,Kenapa fitur lebih bagus sebelum update.
Mohamad Amhar,2023-02-11,2,Sengaja rating jelek biar fiturnya diperbanyak. Tolong dong untuk bagian citra satelit sama radar ditambah fitur timeline/ timelapse biar kita juga bisa arah pergerakan awan maupun hujan
Ananias Dang,2023-02-11,5,Cuaca pantar
Aji Anwari,2023-02-11,5,Maaf Aku kurangi lagi bintangnya. Jaringan bagus tp susah masuk. buat main game online juga bisa buka. masa buat info BMKG malah gagal dalam pengambilan data terus. Tolong UPDATE dibikin seringan mungkin.
Rafnes Lalihatu,2023-02-11,2,"Muncul notifikasi tapi gak bisa dibuka, harus masuk ke aplikasi baru bisa di buka...."
Neman Sulaeman,2023-02-11,5,Bagus membantu
jaelani bolan,2023-02-10,4,"fantastic....,👍🏻👍🏻"
akang senju,2023-02-10,2,"info telat. lepas gempa baru di update info nya. tailah, cuma gitu semua orang juga bisa."
Abdul Razak,2023-02-10,5,Sangat bermanfaat sekali aplikasi ini.. kita jadi tau dimana saat ada gempa dan titik lokasinya... jadi bisa waspada
Florentina Melani,2023-02-10,1,"Hasil gempanya kurang real time. Di Ig sudah di upload besaran gempanya, di aplikasi belum. Kalau ada peringatan tsunami, sdh keburu tersapu baru muncul hasilnya."
Surya Wibisana,2023-02-10,3,"notifikasi info gempa sering berulang masuknya. Pemberitahuan cuaca ekstrim tidak lagi muncul setelah update versi terbaru. Kemudian soal pemberitahuan gempa seharusnya bisa dibatasi dengan jarak, kecuali gempa besar. Karena gempa kecil2 di tempat yg jauh notifikasi sehari bisa lebih dari 7x cukup mengganggu."
Dhika Fitriadi,2023-02-10,5,"Kekurangannya cuma ga ada notifikasi ketika terjadi gempa, semoga segera di update🙏"
henry ZLD,2023-02-09,5,ok
marlion trivotus,2023-02-09,4,ok
Tolan Untung,2023-02-09,5,Suka.
Putri Kaisarea,2023-02-09,3,"Udah bagus cuman lokasi nya tolong di tentukan yah dan biasa suka ngek"" jadi kepengen hapus"
Nur Muhammad Syafei,2023-02-09,2,"UI boros, font besar² tidak bisa di setting."
Kurniawan Pradana,2023-02-09,1,"Tolong notifikasi gempa nya di perbarui, update terbaru jadi mengganggu sekali, masa 1 peringatan gempa ada 4 notif muncul barengan dalam 1 waktu jeda 2 detik. Posisi gempa nya sama semua 4 notif. Sangat2 mengganggu. Kembalikan notifikasi semula, 1 peringatan gempa cukup 1 notifikasi."
I KETUT SUKADANA,2023-02-09,2,"Sering dapat notifikasi gempa, tapi notifikasi cuaca gak ada masuk"
parto parto,2023-02-09,5,Cara mengetaui angin kencang
Tri Prabowo Swasono,2023-02-09,3,"saya kasih bintang 3 dulu.. klo bisa tambah fitur bunyi notifikasi suara misal ""gempa"" atau lainnya.. kalo bisa saya kasih bintang 5.. karena bunyi notifnya jd sama dengan yg lain ini notif apa kan jd ga langsung tau klo ga dibuka."
Bisma Ryan Galaxi,2023-02-09,5,👌👍🙌🙏
Muhammad Sakuri,2023-02-09,3,mungkin akan lebih baik lagi jika fitur radar dan citra satelitnya berfungsi.
Mahmud Maulid Doe,2023-02-08,1,Uninstall 👎
zick shinoda,2023-02-08,1,Masa tiap sebentar muncul notifikasi gempa yang di bawah 5 SR di tempat yang jauh dari tempat saya. Tolong dibuatkan di pengaturan untuk notifikasi gempa berdasarkan besarnya gempa dan juga berdasarkan jarak gempa dari lokasi! Terima Kasih.
Siti Nur Aliah,2023-02-08,1,Bagus
Mustakim “Mustakim” Mustafa,2023-02-08,4,Lebih cepat lagi infonya khusus daerah papua
Endra Setiawan,2023-02-08,2,Semenjak ABDATE jadi LEMOT👎👎👎info terbaru lama sangat🤔👎🤦ada 30mnit Bru masuk🤦👎payah !!!!
PERINTIS PERINTIS,2023-02-08,1,"Tolong di perbaiki lagi aplikasinya, notifikasinya tidak bisa kita terima di waktu dekat. Notifikasi yang di terima saat ini selisih waktunya sangat jauh🤦"
Anggun,2023-02-07,5,Prayfor truky
Yan Alex Worabai,2023-02-07,5,Mantap aplikasi terbaik dapat memperingatkan kita sebelum bencana alam terjadi
Kasiyanto Kasiyanto,2023-02-07,3,Susah dibuka
ammar betta,2023-02-07,1,"Tolong diberbaiki koneksi failed,padahal pake jaringan wifi dan data tapi malah koneksi failed."
Syekh Fadhil Al Jagat Arsy,2023-02-07,5,Informasi nya muantap
Fauzan Riza Sungkar,2023-02-07,5,"Frontend web developer nya keren uy, UI nya jadi mantebbbb"
Riu,2023-02-07,2,"Catatan buat tim developer,, untuk notifikasi gempa tolong yang diberi Bold atau huruf besar jangan cuman tulisan TSUNAMI nya saja, tapi diperjelas apakah berpotensi atau tidak nya juga diberi BOLD atau HURUF BESAR,,, BIKIN SALAH KAPRAH TAU GAA!! CUMA BIKIN TAKUT PENGGUNA AJAA!!! UDAH NOTIF TELAT BIKIN SALAH KAPRAH DOANG!!!"
Barbar Life,2023-02-07,4,"Tolong diperbaiki lagi aplikasinya suka ngelag kalau saat terjadi gempa mungkin karena banyak orang yang masuk dalam aplikasi,kedepan nya mungkin bisa diperbaiki masalah tersebut"
Ari kurniawan Nawan,2023-02-06,1,Iig. G m. V
Amenk CINTA NKRI,2023-02-06,1,Kenapa pembaruan terus??????????????????????????
Nabil Algifari,2023-02-06,5,Bagus banget Dan asli
Nasiruddin bin Mawardi,2023-02-05,5,"Bagus. Mohon tingkatkan keakuratan data terkait prediksi cuaca dan potensi bencana di seluruh Indonesia, dari kota besar hingga daerah pelosok."
Sulaiman Suhdi Supervisor,2023-02-05,2,Kok selalu keluar sendiri perbaiki lagi
Desi Manurung0212,2023-02-04,5,Bagus dan cepat mendapatkan informasi
Aku Kamu (A.a.a),2023-02-03,5,Tolong sediakan fitur widget untuk pemberitahuan cuaca dan bencana🙏🙏🙏
Husni Ahmad,2023-02-02,4,"Sangat membantu, tapi kadang kurang akurat"
Ari Permana,2023-02-02,5,Lebih ditingkatkan lagi early warning systemnya dengan Bun atau Ringtone Bahaya
Naufal Sayyid Alfurqon,2023-02-02,5,"Aplikasi ini sangat berguna ketika anda ingin mengetahui bencana,cuaca di hp anda😁"
Brak Oiyoiy,2023-02-02,4,coba. dulu semoga akurat
03_Alfa Briliant Pangestu,2023-02-02,5,"Apk cukup bagus karena kita bisa.melihat gempa dimana dan cuaca di daerah kita gmn , ini lumayan bagus. THANKS BMKG"
Eko Susilowati,2023-02-02,5,"Sudah berapa kali ada notifikasi gempa tapi tidak saya buka, ketika mau saya buka kenapa aplikasi nya keluar lagi ya, ketutup lagi, ga bisa buka aplikasi, padahal sudah di update, akhirnya sy uninstall, di restart, di install lagi tapi tetep sama ketika dibuka, ketutup lagi aplikasi nya, itu kenapa ya, mohon penjelasan nya, krn ini aplikasi yg bagus banget, sy pengen install lagi tapi kalo ga bisa kebuka kan sayang banget"
Asef Solehuddin,2023-02-01,5,App bermanfaat
Silvie Fatriscia,2023-02-01,1,"Lamaaaa bangett updatee nyaaa...keduluan gempa besar baru update, kita khawatir banget lohh, alangkah lebih baik jika kedepannya lebih mempercepat update nyaa. Terimakasih"
Amir Hamzah,2023-02-01,5,Apk nya sanggat bagus dan per maafaat
Budi Primanto,2023-02-01,1,kenapa sekarang jadi makin telat dapat infonya. biasanya pas ada gempa langsung muncul tp sekarang lama 10 mnit setelah kejadian. tolong di perbaiki. terimakasih
Suhada Kaltim,2023-02-01,5,Setelah update jadi gak bisa di buka
Eris Setiawan,2023-02-01,1,"Aplikasigak guna banget, infonya tlat mulu"
Tinah Rustinah,2023-02-01,2,Gempa terdekat lokasi saya (cianjur) kok malah sering ga muncul ya sejak diperbarui. Malah dari instagram bmkg baru bisa lihat updatean gempanya
kardiyat syafiq,2023-02-01,5,Aplikasi INFO BMKG Tidak memiliki informasi tentang Vulkanologi. Informasi Vulkanologi itu kan ranahnya BMKG. Kedepannya info BMKG menambahkan Info aktivitas Vulkanik supaya pendaki atau orang yang beraktifitas dekat dengan vulkano tahu indikasi bahaya atau tidak nya.
Yatno no,2023-01-31,5,Good
Trap Bos,2023-01-31,5,Real
AYUB86 TAT INDONESIA TERNATE,2023-01-31,5,TAT 86 INDONEISA AYUB 86 TERNATE
Adimas Waskito Jati,2023-01-29,5,"Seharusnya aplikasi ini mempunyai warning sistem yg terpadu, entah itu peringatan cuaca, gempa bumi dll yg real time. Ditambah pula dengan widget cuaca, gempa dll"
romli setiawan,2023-01-29,5,Oke
Nizar Effendi,2023-01-29,5,Bagus
Ras Tini,2023-01-29,5,Bagus
Arrus Arkamaluddin,2023-01-29,5,very helpful in daily outdoor activities & when traveling
Amigo Sobo,2023-01-28,5,Bagus Sejali
Fahri Fadhial nasution,2023-01-28,5,Bagus
APIS UDIN,2023-01-28,3,Di per detail lagi lokasi nya dan letak posisi kita biar dapat langsung sasaran dan lebih di pertajam dengan satelit yang ada di lokasi .
Fadli Skumbank,2023-01-28,5,Lebih mendekati donk tentang cuacanya...
Cepi Sumantri,2023-01-28,1,"kok malah tambah jelek updatetannya, bagusan yg belum di update simple"
Bangbang Kuncoro hadi (Bams),2023-01-28,5,Infomasi yang bermanfaat
Hari Ginanjar,2023-01-28,1,Susah amat download nya ya..
Lutfi zakaria,2023-01-28,4,lebih bagusnya cuaca bisa di widget atau layar depan.....
Ahmad Jayadi83,2023-01-27,5,Terima kasih sangat membantu utk informasi
Risman Rusdy,2023-01-27,5,Ini penting kasih 5
salima edi,2023-01-27,5,Good job 👍👍
Herman Eni,2023-01-25,5,Sanggat bermampaat
Rizky Pramana,2023-01-25,5,Semangat 🤲🏻
mil0dino rorr,2023-01-25,5,Nice
Pengguna Google,2023-01-25,5,maaf kolo bisa di tambah alarem gempa dan cuaca....notifikasi dan PDC y gak bisa di update/bagikan... Tolong dong pak PDC y biar bisa di share
Indra Yudha,2023-01-25,5,Top
Cek Gma,2023-01-24,5,Ok
Sunce Bawangun,2023-01-24,5,Mantap..👍👍👍
IrmaJO Syarif,2023-01-24,5,Ok
Wawan Ridwan,2023-01-24,5,Maju terus
Iwan Nawawi,2023-01-23,5,Allus
Adista Kanaya10,2023-01-23,4,Sangat cepat memberi informasi nya
Wilzam Gaming,2023-01-23,2,"Notifikasi pasca gempa telat dan tidak akurat, Gempa pukul 2 dini hari, notifikasi muncul jam 6 pagi"
Sudirman Halawa,2023-01-23,5,Saya sangat senang karna sangat membantu kami dalam aktifitas kami seha hari trimakasih...
Yoga Aditia,2023-01-22,5,Gw ngrasaiin tiap hari kok gempa mulu ya awal tahun ini .sluruh daerah prasaan gempa mulu apa mau kiamat
Andri Ahmadi,2023-01-22,4,Mohon di kasih widget jadi tidak harus buka aplikasi kalau liat cuaca...
Wemfriet Riambang,2023-01-21,5,Baik s x
Lian Handling,2023-01-21,5,Sangat Bermanfaat👍👍
Hasan Basri Nasution,2023-01-21,5,Ok
Rifai Nasir,2023-01-20,5,good
Muh Nursin (Usin),2023-01-20,3,"Bintang 3 dulu, soalny untuk titik lokasi di hp saya tidak bisa langsung pindah secara otomatis pindah, semoga bisa di perbaiki kembali"
Angkino Franz,2023-01-19,4,Good aplikasi
Aryo Mareray,2023-01-19,5,Mantappp
Ronny Ampkhi,2023-01-19,5,Baik
arif M,2023-01-19,5,Berguna bagi nusa bangsa dan negara khususnya kita bangsa Indonesia
Mang Nani,2023-01-18,5,ok
Kurniawan Zai,2023-01-18,5,"Sangat membantu, dan semoga admin tetap semangat menciptakan hal yg sangat terbaik buat kedepannya. Semoga sukses terus 👍"
Enuh 1805,2023-01-18,5,Oke
dhex upeL (Gembil),2023-01-18,5,Aman
Rahmat Sanin,2023-01-18,5,Baik
gunawan roihan,2023-01-18,1,"Untuk cuaca hujan tidak akurat 100%, diprediksi akan terjadi hujan petir, cuman cuaca berawan,,,, malah yg diprediksi berawan, ternyata hujan dengan insentitas lebat... Mohon diperbaiki sistem nya, agar masyarakat indonesia bisa lebih waspada dengan faktor iklim/cuaca"
Rhey Anwar,2023-01-18,1,No good
arief prasetyo,2023-01-18,5,Sangat informatif dan terus up2date
Hartini Alfatih,2023-01-18,5,App yess
Maulana Abdillah,2023-01-18,1,Terlalu lama loding
Rigen Wokas,2023-01-18,5,Update informasi sangat cepat
Goenk,2023-01-18,5,Diupgrade terus biar tidak lemot
Samuel Kristiawan,2023-01-18,5,Sangat update terimakasih sangat membantu
Rafisun,2023-01-18,5,Infonya terkini
Chaly Syahril,2023-01-18,5,"Sangat sangat membantu,,,"
Ali Akbar,2023-01-18,4,Sangat membantu sekali
Daeng Sigerra,2023-01-18,5,Top
Tri Yono,2023-01-17,3,Musim hujan di tebar garam ke laut. Jadinya di darat nggak hujan2. Hujan itu berkah lo....
Ta cania Juli,2023-01-17,5,Aku bangat aplikasi nya kita dpat jawaban nya semua..
Yanti Wulandari,2023-01-17,5,Bagus
Sitti Aminah,2023-01-17,4,"Dulu waktu masih pake yang lama sebelum update ulang notif sering muncul, sekarang kok gak pernah dapet notif lagi ya? 😭 Padahal udah cek setting berkali-kali takut gak aktif notifnya tapi notif udah aktif, tetep gak muncul notif kalo ada info gempa atau perkiraan cuaca."
Sugiono 1967,2023-01-17,5,Sangat membatu tentang informasi gempa terkini
Adi Sipa,2023-01-17,5,sangat membantu masyarakat dalam mengetui info2 bmkg
EMMANUEL SOTER,2023-01-17,3,Sangat berguna
heri herdiansyah,2023-01-17,5,Bagus banget sangat membantu
Nasir S,2023-01-17,5,Sangat baik
Cahya Winardy,2023-01-17,5,Terima kasih
Misella Anggrainisetiawan,2023-01-17,5,Sangaat membantuuu
Lunafreya2,2023-01-17,1,HANYA DI FOKUSKAN GEMPA DIDAERAH JAWA DAN SEKITAR NYA SAJA.. APP GA GUNA.
